year,constructorId,Constructor Name,Total Points,Races Won,Races Qualified First
1960,111,Trevis,1.0,0,0
1960,112,Meskowski,0.0,0,0
1959,113,Kurtis Kraft,0.0,0,0
1960,113,Kurtis Kraft,0.0,0,0
1959,114,Kuzma,0.0,0,0
1960,114,Kuzma,0.0,0,0
1959,115,Christensen,0.0,0,0
1960,115,Christensen,0.0,0,0
1960,116,Ewing,0.0,0,0
1959,117,Aston Martin,0.0,0,0
1960,117,Aston Martin,0.0,0,0
2021,117,Aston Martin,77.0,0,0
2022,117,Aston Martin,55.0,0,0
2023,117,Aston Martin,280.0,0,0
2024,117,Aston Martin,94.0,0,0
1958,118,Vanwall,58.0,6,0
1959,118,Vanwall,0.0,0,0
1960,118,Vanwall,0.0,0,0
1959,119,Moore,0.0,0,0
1959,120,Dunn,0.0,0,0
1959,121,Elder,0.0,0,0
1959,122,Sutton,0.0,0,0
1959,123,Fry,0.0,0,0
1959,124,Tec-Mec,0.0,0,0
1958,125,Connaught,0.0,0,0
1959,125,Connaught,0.0,0,0
1958,127,OSCA,0.0,0,0
2010,131,Mercedes,214.0,0,0
2011,131,Mercedes,165.0,0,0
2012,131,Mercedes,142.0,1,2
2013,131,Mercedes,360.0,3,8
2014,131,Mercedes,701.0,16,18
2015,131,Mercedes,703.0,16,18
2016,131,Mercedes,765.0,19,20
2017,131,Mercedes,668.0,12,15
2018,131,Mercedes,655.0,11,13
2019,131,Mercedes,739.0,15,10
2020,131,Mercedes,573.0,13,15
2021,131,Mercedes,613.5,9,11
2022,131,Mercedes,515.0,1,1
2023,131,Mercedes,409.0,0,1
2024,131,Mercedes,468.0,4,3
2010,164,HRT,0.0,0,0
2011,164,HRT,0.0,0,0
2012,164,HRT,0.0,0,0
2010,166,Virgin,0.0,0,0
2011,166,Virgin,0.0,0,0
1959,167,Cooper-Maserati,0.0,0,0
1960,167,Cooper-Maserati,3.0,0,0
1961,167,Cooper-Maserati,0.0,0,0
1963,167,Cooper-Maserati,0.0,0,0
1965,167,Cooper-Maserati,0.0,0,0
1966,167,Cooper-Maserati,35.0,1,0
1967,167,Cooper-Maserati,28.0,1,0
1968,167,Cooper-Maserati,0.0,0,0
1969,167,Cooper-Maserati,0.0,0,0
1959,168,Cooper-OSCA,0.0,0,0
1959,169,Cooper-Borgward,0.0,0,0
1959,170,Cooper-Climax,53.0,5,0
1960,170,Cooper-Climax,58.0,6,0
1961,170,Cooper-Climax,19.0,0,0
1962,170,Cooper-Climax,37.0,1,0
1963,170,Cooper-Climax,26.0,0,0
1964,170,Cooper-Climax,16.0,0,0
1965,170,Cooper-Climax,14.0,0,0
1967,170,Cooper-Climax,6.0,0,0
1968,170,Cooper-Climax,0.0,0,0
1960,171,Cooper-Castellotti,3.0,0,0
1961,172,Lotus-Climax,35.0,3,0
1962,172,Lotus-Climax,38.0,3,0
1963,172,Lotus-Climax,74.0,7,0
1964,172,Lotus-Climax,40.0,3,0
1965,172,Lotus-Climax,58.0,6,0
1966,172,Lotus-Climax,8.0,0,0
1967,172,Lotus-Climax,0.0,0,0
1961,173,Lotus-Maserati,0.0,0,0
1963,173,Lotus-Maserati,0.0,0,0
1961,174,De Tomaso-Osca,0.0,0,0
1962,174,De Tomaso-Osca,0.0,0,0
1961,175,De Tomaso-Alfa Romeo,0.0,0,0
1962,175,De Tomaso-Alfa Romeo,0.0,0,0
1962,176,Lotus-BRM,1.0,0,0
1963,176,Lotus-BRM,4.0,0,0
1964,176,Lotus-BRM,3.0,0,0
1965,176,Lotus-BRM,2.0,0,0
1966,176,Lotus-BRM,13.0,1,0
1967,176,Lotus-BRM,6.0,0,0
1962,177,Lotus-Borgward,0.0,0,0
1963,177,Lotus-Borgward,0.0,0,0
1962,178,Cooper-Alfa Romeo,0.0,0,0
1963,179,De Tomaso-Ferrari,0.0,0,0
1963,180,Lotus-Ford,0.0,0,0
1965,180,Lotus-Ford,0.0,0,0
1967,180,Lotus-Ford,44.0,4,0
1968,180,Lotus-Ford,62.0,5,0
1969,180,Lotus-Ford,47.0,2,0
1971,180,Lotus-Ford,21.0,0,0
1964,181,Brabham-BRM,7.0,0,0
1965,181,Brabham-BRM,5.0,0,0
1966,181,Brabham-BRM,1.0,0,0
1964,182,Brabham-Ford,0.0,0,0
1965,182,Brabham-Ford,0.0,0,0
1967,182,Brabham-Ford,0.0,0,0
1969,182,Brabham-Ford,51.0,2,0
1976,182,Brabham-Ford,0.0,0,0
1979,182,Brabham-Ford,0.0,0,0
1964,183,Brabham-Climax,30.0,2,0
1965,183,Brabham-Climax,31.0,0,0
1966,183,Brabham-Climax,1.0,0,0
1967,183,Brabham-Climax,2.0,0,0
1968,183,Brabham-Climax,0.0,0,0
1969,183,Brabham-Climax,0.0,0,0
1965,184,LDS-Climax,0.0,0,0
1967,184,LDS-Climax,0.0,0,0
1965,185,LDS-Alfa Romeo,0.0,0,0
1965,186,Cooper-Ford,0.0,0,0
1966,187,McLaren-Ford,2.0,0,0
1967,187,McLaren-Ford,0.0,0,0
1968,187,McLaren-Ford,49.0,3,0
1969,187,McLaren-Ford,40.0,1,0
1970,187,McLaren-Ford,35.0,0,0
1966,188,McLaren-Serenissima,1.0,0,0
1966,189,Eagle-Climax,4.0,0,0
1967,189,Eagle-Climax,0.0,0,0
1969,189,Eagle-Climax,0.0,0,0
1966,190,Eagle-Weslake,0.0,0,0
1967,190,Eagle-Weslake,13.0,1,0
1968,190,Eagle-Weslake,0.0,0,0
1966,191,Brabham-Repco,55.0,4,0
1967,191,Brabham-Repco,67.0,4,0
1968,191,Brabham-Repco,10.0,0,0
1969,191,Brabham-Repco,0.0,0,0
1966,192,Cooper-Ferrari,0.0,0,0
1967,193,Cooper-ATS,0.0,0,0
1967,194,McLaren-BRM,3.0,0,0
1968,194,McLaren-BRM,3.0,0,0
1968,195,Cooper-BRM,14.0,0,0
1968,196,Matra-Ford,45.0,3,0
1969,196,Matra-Ford,66.0,6,0
1969,197,BRM-Ford,0.0,0,0
1970,198,McLaren-Alfa Romeo,0.0,0,0
1971,199,March-Alfa Romeo,0.0,0,0
1971,200,March-Ford,34.0,0,0
1971,201,Lotus-Pratt &amp; Whitney,0.0,0,0
1975,202,Shadow-Ford,9.5,0,0
1975,203,Shadow-Matra,0.0,0,0
1976,204,Brabham-Alfa Romeo,9.0,0,0
1979,204,Brabham-Alfa Romeo,7.0,0,0
2010,205,Lotus,0.0,0,0
2011,205,Lotus,0.0,0,0
2012,206,Marussia,0.0,0,0
2013,206,Marussia,0.0,0,0
2014,206,Marussia,2.0,0,0
2015,206,Marussia,0.0,0,0
2012,207,Caterham,0.0,0,0
2013,207,Caterham,0.0,0,0
2014,207,Caterham,0.0,0,0
2012,208,Lotus F1,303.0,1,0
2013,208,Lotus F1,315.0,1,0
2014,208,Lotus F1,10.0,0,0
2015,208,Lotus F1,78.0,0,0
2015,209,Manor Marussia,0.0,0,0
2016,209,Manor Marussia,1.0,0,0
2016,210,Haas F1 Team,29.0,0,0
2017,210,Haas F1 Team,47.0,0,0
2018,210,Haas F1 Team,93.0,0,0
2019,210,Haas F1 Team,28.0,0,0
2020,210,Haas F1 Team,3.0,0,0
2021,210,Haas F1 Team,0.0,0,0
2022,210,Haas F1 Team,37.0,0,1
2023,210,Haas F1 Team,12.0,0,0
2024,210,Haas F1 Team,58.0,0,0
2019,211,Racing Point,73.0,0,0
2020,211,Racing Point,210.0,1,1
2020,213,AlphaTauri,107.0,1,0
2021,213,AlphaTauri,142.0,0,0
2022,213,AlphaTauri,35.0,0,0
2023,213,AlphaTauri,25.0,0,0
2021,214,Alpine F1 Team,155.0,1,0
2022,214,Alpine F1 Team,173.0,0,0
2023,214,Alpine F1 Team,120.0,0,0
2024,214,Alpine F1 Team,65.0,0,0
2024,215,RB F1 Team,46.0,0,0
